date_id,full_date,year,quarter,month,month_name,day,week_of_year,day_of_week,day_name,is_weekend
19150208,1915-02-08,1915,1,2,February,8,6,0,Monday,False
19180514,1918-05-14,1918,2,5,May,14,20,1,Tuesday,False
19180801,1918-08-01,1918,3,8,August,1,31,3,Thursday,False
19190513,1919-05-13,1919,2,5,May,13,20,1,Tuesday,False
19191123,1919-11-23,1919,4,11,November,23,47,6,Sunday,True
19200225,1920-02-25,1920,1,2,February,25,9,2,Wednesday,False
19201121,1920-11-21,1920,4,11,November,21,47,6,Sunday,True
19210925,1921-09-25,1921,3,9,September,25,38,6,Sunday,True
19211228,1921-12-28,1921,4,12,December,28,52,2,Wednesday,False
19220111,1922-01-11,1922,1,1,January,11,2,2,Wednesday,False
19220315,1922-03-15,1922,1,3,March,15,11,2,Wednesday,False
19220401,1922-04-01,1922,2,4,April,1,13,5,Saturday,True
19220427,1922-04-27,1922,2,4,April,27,17,3,Thursday,False
19220507,1922-05-07,1922,2,5,May,7,18,6,Sunday,True
19220918,1922-09-18,1922,3,9,September,18,38,0,Monday,False
19230906,1923-09-06,1923,3,9,September,6,36,3,Thursday,False
19230924,1923-09-24,1923,3,9,September,24,39,0,Monday,False
19231119,1923-11-19,1923,4,11,November,19,47,0,Monday,False
19240213,1924-02-13,1924,1,2,February,13,7,2,Wednesday,False
19240318,1924-03-18,1924,1,3,March,18,12,1,Tuesday,False
19240421,1924-04-21,1924,2,4,April,21,17,0,Monday,False
19240425,1924-04-25,1924,2,4,April,25,17,4,Friday,False
19241013,1924-10-13,1924,4,10,October,13,42,0,Monday,False
19241222,1924-12-22,1924,4,12,December,22,52,0,Monday,False
19250916,1925-09-16,1925,3,9,September,16,38,2,Wednesday,False
19251103,1925-11-03,1925,4,11,November,3,45,1,Tuesday,False
19251105,1925-11-05,1925,4,11,November,5,45,3,Thursday,False
19251230,1925-12-30,1925,4,12,December,30,53,2,Wednesday,False
19260514,1926-05-14,1926,2,5,May,14,19,4,Friday,False
19260903,1926-09-03,1926,3,9,September,3,35,4,Friday,False
19261225,1926-12-25,1926,4,12,December,25,51,5,Saturday,True
19261231,1926-12-31,1926,4,12,December,31,52,4,Friday,False
19270101,1927-01-01,1927,1,1,January,1,52,5,Saturday,True
19270110,1927-01-10,1927,1,1,January,10,2,0,Monday,False
19270117,1927-01-17,1927,1,1,January,17,3,0,Monday,False
19270604,1927-06-04,1927,2,6,June,4,22,5,Saturday,True
19270812,1927-08-12,1927,3,8,August,12,32,4,Friday,False
19270909,1927-09-09,1927,3,9,September,9,36,4,Friday,False
19270910,1927-09-10,1927,3,9,September,10,36,5,Saturday,True
19270923,1927-09-23,1927,3,9,September,23,38,4,Friday,False
19271001,1927-10-01,1927,4,10,October,1,39,5,Saturday,True
19271024,1927-10-24,1927,4,10,October,24,43,0,Monday,False
19271031,1927-10-31,1927,4,10,October,31,44,0,Monday,False
19280106,1928-01-06,1928,1,1,January,6,1,4,Friday,False
19280107,1928-01-07,1928,1,1,January,7,1,5,Saturday,True
19280120,1928-01-20,1928,1,1,January,20,3,4,Friday,False
19280122,1928-01-22,1928,1,1,January,22,3,6,Sunday,True
19280305,1928-03-05,1928,1,3,March,5,10,0,Monday,False
19280407,1928-04-07,1928,2,4,April,7,14,5,Saturday,True
19280421,1928-04-21,1928,2,4,April,21,16,5,Saturday,True
19280915,1928-09-15,1928,3,9,September,15,37,5,Saturday,True
19280916,1928-09-16,1928,3,9,September,16,37,6,Sunday,True
19281118,1928-11-18,1928,4,11,November,18,46,6,Sunday,True
19290121,1929-01-21,1929,1,1,January,21,4,0,Monday,False
19290130,1929-01-30,1929,1,1,January,30,5,2,Wednesday,False
19290208,1929-02-08,1929,1,2,February,8,6,4,Friday,False
19290605,1929-06-05,1929,2,6,June,5,23,2,Wednesday,False
19290803,1929-08-03,1929,3,8,August,3,31,5,Saturday,True
19300201,1930-02-01,1930,1,2,February,1,5,5,Saturday,True
19300221,1930-02-21,1930,1,2,February,21,8,4,Friday,False
19300331,1930-03-31,1930,1,3,March,31,14,0,Monday,False
19300429,1930-04-29,1930,2,4,April,29,18,1,Tuesday,False
19300629,1930-06-29,1930,2,6,June,29,26,6,Sunday,True
19300731,1930-07-31,1930,3,7,July,31,31,3,Thursday,False
