date_id,full_date,year,quarter,month,month_name,day,week_of_year,day_of_week,day_name,is_weekend
19150208,1915-02-08,1915,1,2,February,8,6,2,Monday,false
19160904,1916-09-04,1916,3,9,September,4,36,2,Monday,false
19171022,1917-10-22,1917,4,10,October,22,43,2,Monday,false
19190513,1919-05-13,1919,2,5,May,13,20,3,Tuesday,false
19200112,1920-01-12,1920,1,1,January,12,3,2,Monday,false
19200901,1920-09-01,1920,3,9,September,1,36,4,Wednesday,false
19200903,1920-09-03,1920,3,9,September,3,36,6,Friday,true
19201028,1920-10-28,1920,4,10,October,28,44,5,Thursday,true
19210101,1921-01-01,1921,1,1,January,1,53,7,Saturday,true
19210121,1921-01-21,1921,1,1,January,21,3,6,Friday,true
19211006,1921-10-06,1921,4,10,October,6,40,5,Thursday,true
19211120,1921-11-20,1921,4,11,November,20,46,1,Sunday,false
19211228,1921-12-28,1921,4,12,December,28,52,4,Wednesday,false
19220111,1922-01-11,1922,1,1,January,11,2,4,Wednesday,false
19220315,1922-03-15,1922,1,3,March,15,11,4,Wednesday,false
19220401,1922-04-01,1922,2,4,April,1,13,7,Saturday,true
19220918,1922-09-18,1922,3,9,September,18,38,2,Monday,false
19220924,1922-09-24,1922,3,9,September,24,38,1,Sunday,false
19240210,1924-02-10,1924,1,2,February,10,6,1,Sunday,false
19241204,1924-12-04,1924,4,12,December,4,49,5,Thursday,true
19241222,1924-12-22,1924,4,12,December,22,52,2,Monday,false
19250622,1925-06-22,1925,2,6,June,22,26,2,Monday,false
19250906,1925-09-06,1925,3,9,September,6,36,1,Sunday,false
19250916,1925-09-16,1925,3,9,September,16,38,4,Wednesday,false
19251103,1925-11-03,1925,4,11,November,3,45,3,Tuesday,false
19251105,1925-11-05,1925,4,11,November,5,45,5,Thursday,true
19251230,1925-12-30,1925,4,12,December,30,53,4,Wednesday,false
19260308,1926-03-08,1926,1,3,March,8,10,2,Monday,false
19260324,1926-03-24,1926,1,3,March,24,12,4,Wednesday,false
19260514,1926-05-14,1926,2,5,May,14,19,6,Friday,true
19260903,1926-09-03,1926,3,9,September,3,35,6,Friday,true
19260919,1926-09-19,1926,3,9,September,19,37,1,Sunday,false
19261225,1926-12-25,1926,4,12,December,25,51,7,Saturday,true
19270110,1927-01-10,1927,1,1,January,10,2,2,Monday,false
19270604,1927-06-04,1927,2,6,June,4,22,7,Saturday,true
19270812,1927-08-12,1927,3,8,August,12,32,6,Friday,true
19271031,1927-10-31,1927,4,10,October,31,44,2,Monday,false
19280120,1928-01-20,1928,1,1,January,20,3,6,Friday,true
19280218,1928-02-18,1928,1,2,February,18,7,7,Saturday,true
19280407,1928-04-07,1928,2,4,April,7,14,7,Saturday,true
19280427,1928-04-27,1928,2,4,April,27,17,6,Friday,true
19280916,1928-09-16,1928,3,9,September,16,37,1,Sunday,false
19281004,1928-10-04,1928,4,10,October,4,40,5,Thursday,true
19290130,1929-01-30,1929,1,1,January,30,5,4,Wednesday,false
19290208,1929-02-08,1929,1,2,February,8,6,6,Friday,true
19290803,1929-08-03,1929,3,8,August,3,31,7,Saturday,true
19290927,1929-09-27,1929,3,9,September,27,39,6,Friday,true
19300101,1930-01-01,1930,1,1,January,1,1,4,Wednesday,false
19300104,1930-01-04,1930,1,1,January,4,1,7,Saturday,true
19300201,1930-02-01,1930,1,2,February,1,5,7,Saturday,true
19300331,1930-03-31,1930,1,3,March,31,14,2,Monday,false
19300429,1930-04-29,1930,2,4,April,29,18,3,Tuesday,false
19300628,1930-06-28,1930,2,6,June,28,26,7,Saturday,true
19301115,1930-11-15,1930,4,11,November,15,46,7,Saturday,true
19310109,1931-01-09,1931,1,1,January,9,2,6,Friday,true
19310218,1931-02-18,1931,1,2,February,18,8,4,Wednesday,false
19310226,1931-02-26,1931,1,2,February,26,9,5,Thursday,true
19310423,1931-04-23,1931,2,4,April,23,17,5,Thursday,true
19310717,1931-07-17,1931,3,7,July,17,29,6,Friday,true
19311010,1931-10-10,1931,4,10,October,10,41,7,Saturday,true
19311031,1931-10-31,1931,4,10,October,31,44,7,Saturday,true
19311121,1931-11-21,1931,4,11,November,21,47,7,Saturday,true
19311127,1931-11-27,1931,4,11,November,27,48,6,Friday,true
19311210,1931-12-10,1931,4,12,December,10,50,5,Thursday,true
19311226,1931-12-26,1931,4,12,December,26,52,7,Saturday,true
19320120,1932-01-20,1932,1,1,January,20,3,4,Wednesday,false
19320210,1932-02-10,1932,1,2,February,10,6,4,Wednesday,false
19320324,1932-03-24,1932,1,3,March,24,12,5,Thursday,true
19320525,1932-05-25,1932,2,5,May,25,21,4,Wednesday,false
19320819,1932-08-19,1932,3,8,August,19,33,6,Friday,true
19320827,1932-08-27,1932,3,8,August,27,34,7,Saturday,true
19320910,1932-09-10,1932,3,9,September,10,36,7,Saturday,true
19320916,1932-09-16,1932,3,9,September,16,37,6,Friday,true
19321020,1932-10-20,1932,4,10,October,20,42,5,Thursday,true
19321021,1932-10-21,1932,4,10,October,21,42,6,Friday,true
19321105,1932-11-05,1932,4,11,November,5,44,7,Saturday,true
19321119,1932-11-19,1932,4,11,November,19,46,7,Saturday,true
19321130,1932-11-30,1932,4,11,November,30,48,4,Wednesday,false
19330202,1933-02-02,1933,1,2,February,2,5,5,Thursday,true
19330208,1933-02-08,1933,1,2,February,8,6,4,Wednesday,false
19330209,1933-02-09,1933,1,2,February,9,6,5,Thursday,true
19330407,1933-04-07,1933,2,4,April,7,14,6,Friday,true
19330421,1933-04-21,1933,2,4,April,21,16,6,Friday,true
19330527,1933-05-27,1933,2,5,May,27,21,7,Saturday,true
19330712,1933-07-12,1933,3,7,July,12,28,4,Wednesday,false
19330801,1933-08-01,1933,3,8,August,1,31,3,Tuesday,false
19330829,1933-08-29,1933,3,8,August,29,35,3,Tuesday,false
19331021,1933-10-21,1933,4,10,October,21,42,7,Saturday,true
19331113,1933-11-13,1933,4,11,November,13,46,2,Monday,false
19331117,1933-11-17,1933,4,11,November,17,46,6,Friday,true
19331222,1933-12-22,1933,4,12,December,22,51,6,Friday,true
19331226,1933-12-26,1933,4,12,December,26,52,3,Tuesday,false
19331229,1933-12-29,1933,4,12,December,29,52,6,Friday,true
19340209,1934-02-09,1934,1,2,February,9,6,6,Friday,true
19340216,1934-02-16,1934,1,2,February,16,7,6,Friday,true
19340222,1934-02-22,1934,1,2,February,22,8,5,Thursday,true
19340420,1934-04-20,1934,2,4,April,20,16,6,Friday,true
19340424,1934-04-24,1934,2,4,April,24,17,3,Tuesday,false
19340507,1934-05-07,1934,2,5,May,7,19,2,Monday,false
19340511,1934-05-11,1934,2,5,May,11,19,6,Friday,true
19340525,1934-05-25,1934,2,5,May,25,21,6,Friday,true
19340831,1934-08-31,1934,3,8,August,31,35,6,Friday,true
19340921,1934-09-21,1934,3,9,September,21,38,6,Friday,true
19341102,1934-11-02,1934,4,11,November,2,44,6,Friday,true
19341122,1934-11-22,1934,4,11,November,22,47,5,Thursday,true
19341123,1934-11-23,1934,4,11,November,23,47,6,Friday,true
19341130,1934-11-30,1934,4,11,November,30,48,6,Friday,true
19341223,1934-12-23,1934,4,12,December,23,51,1,Sunday,false
19341228,1934-12-28,1934,4,12,December,28,52,6,Friday,true
19350111,1935-01-11,1935,1,1,January,11,2,6,Friday,true
19350118,1935-01-18,1935,1,1,January,18,3,6,Friday,true
19350218,1935-02-18,1935,1,2,February,18,8,2,Monday,false
19350222,1935-02-22,1935,1,2,February,22,8,6,Friday,true
19350328,1935-03-28,1935,1,3,March,28,13,5,Thursday,true
19350420,1935-04-20,1935,2,4,April,20,16,7,Saturday,true
19350426,1935-04-26,1935,2,4,April,26,17,6,Friday,true
19350509,1935-05-09,1935,2,5,May,9,19,5,Thursday,true
19350513,1935-05-13,1935,2,5,May,13,20,2,Monday,false
19350628,1935-06-28,1935,2,6,June,28,26,6,Friday,true
19350823,1935-08-23,1935,3,8,August,23,34,6,Friday,true
19350906,1935-09-06,1935,3,9,September,6,36,6,Friday,true
19351108,1935-11-08,1935,4,11,November,8,45,6,Friday,true
19351115,1935-11-15,1935,4,11,November,15,46,6,Friday,true
19351122,1935-11-22,1935,4,11,November,22,47,6,Friday,true
19351225,1935-12-25,1935,4,12,December,25,52,4,Wednesday,false
19360115,1936-01-15,1936,1,1,January,15,3,4,Wednesday,false
19360205,1936-02-05,1936,1,2,February,5,6,4,Wednesday,false
19360208,1936-02-08,1936,1,2,February,8,6,7,Saturday,true
19360220,1936-02-20,1936,1,2,February,20,8,5,Thursday,true
19360318,1936-03-18,1936,1,3,March,18,12,4,Wednesday,false
19360412,1936-04-12,1936,2,4,April,12,15,1,Sunday,false
19360604,1936-06-04,1936,2,6,June,4,23,5,Thursday,true
19360606,1936-06-06,1936,2,6,June,6,23,7,Saturday,true
19360612,1936-06-12,1936,2,6,June,12,24,6,Friday,true
19360626,1936-06-26,1936,2,6,June,26,26,6,Friday,true
19360728,1936-07-28,1936,3,7,July,28,31,3,Tuesday,false
19360801,1936-08-01,1936,3,8,August,1,31,7,Saturday,true
19360828,1936-08-28,1936,3,8,August,28,35,6,Friday,true
19361009,1936-10-09,1936,4,10,October,9,41,6,Friday,true
19361014,1936-10-14,1936,4,10,October,14,42,4,Wednesday,false
19361015,1936-10-15,1936,4,10,October,15,42,5,Thursday,true
19361106,1936-11-06,1936,4,11,November,6,45,6,Friday,true
19370101,1937-01-01,1937,1,1,January,1,53,6,Friday,true
19370219,1937-02-19,1937,1,2,February,19,7,6,Friday,true
19370508,1937-05-08,1937,2,5,May,8,18,7,Saturday,true
19370524,1937-05-24,1937,2,5,May,24,21,2,Monday,false
19370604,1937-06-04,1937,2,6,June,4,22,6,Friday,true
19370611,1937-06-11,1937,2,6,June,11,23,6,Friday,true
19370716,1937-07-16,1937,3,7,July,16,28,6,Friday,true
19370827,1937-08-27,1937,3,8,August,27,34,6,Friday,true
19370901,1937-09-01,1937,3,9,September,1,35,4,Wednesday,false
19370903,1937-09-03,1937,3,9,September,3,35,6,Friday,true
19370910,1937-09-10,1937,3,9,September,10,36,6,Friday,true
19371008,1937-10-08,1937,4,10,October,8,40,6,Friday,true
19371015,1937-10-15,1937,4,10,October,15,41,6,Friday,true
19371029,1937-10-29,1937,4,10,October,29,43,6,Friday,true
19371101,1937-11-01,1937,4,11,November,1,44,2,Monday,false
19371119,1937-11-19,1937,4,11,November,19,46,6,Friday,true
19371220,1937-12-20,1937,4,12,December,20,51,2,Monday,false
19380211,1938-02-11,1938,1,2,February,11,6,6,Friday,true
19380218,1938-02-18,1938,1,2,February,18,7,6,Friday,true
19380319,1938-03-19,1938,1,3,March,19,11,7,Saturday,true
19380422,1938-04-22,1938,2,4,April,22,16,6,Friday,true
19380513,1938-05-13,1938,2,5,May,13,19,6,Friday,true
19380524,1938-05-24,1938,2,5,May,24,21,3,Tuesday,false
19380715,1938-07-15,1938,3,7,July,15,28,6,Friday,true
19380809,1938-08-09,1938,3,8,August,9,32,3,Tuesday,false
19380823,1938-08-23,1938,3,8,August,23,34,3,Tuesday,false
19381018,1938-10-18,1938,4,10,October,18,42,3,Tuesday,false
19381126,1938-11-26,1938,4,11,November,26,47,7,Saturday,true
19381216,1938-12-16,1938,4,12,December,16,50,6,Friday,true
19381223,1938-12-23,1938,4,12,December,23,51,6,Friday,true
19381224,1938-12-24,1938,4,12,December,24,51,7,Saturday,true
19390101,1939-01-01,1939,1,1,January,1,52,1,Sunday,false
19390128,1939-01-28,1939,1,1,January,28,4,7,Saturday,true
19390302,1939-03-02,1939,1,3,March,2,9,5,Thursday,true
19390317,1939-03-17,1939,1,3,March,17,11,6,Friday,true
19390329,1939-03-29,1939,1,3,March,29,13,4,Wednesday,false
19390511,1939-05-11,1939,2,5,May,11,19,5,Thursday,true
19390608,1939-06-08,1939,2,6,June,8,23,5,Thursday,true
19390707,1939-07-07,1939,3,7,July,7,27,6,Friday,true
19390815,1939-08-15,1939,3,8,August,15,33,3,Tuesday,false
19390905,1939-09-05,1939,3,9,September,5,36,3,Tuesday,false
19391005,1939-10-05,1939,4,10,October,5,40,5,Thursday,true
19391006,1939-10-06,1939,4,10,October,6,40,6,Friday,true
19391013,1939-10-13,1939,4,10,October,13,41,6,Friday,true
19391019,1939-10-19,1939,4,10,October,19,42,5,Thursday,true
19391020,1939-10-20,1939,4,10,October,20,42,6,Friday,true
19391215,1939-12-15,1939,4,12,December,15,50,6,Friday,true
19400112,1940-01-12,1940,1,1,January,12,2,6,Friday,true
19400209,1940-02-09,1940,1,2,February,9,6,6,Friday,true
19400216,1940-02-16,1940,1,2,February,16,7,6,Friday,true
19400223,1940-02-23,1940,1,2,February,23,8,6,Friday,true
19400315,1940-03-15,1940,1,3,March,15,11,6,Friday,true
19400409,1940-04-09,1940,2,4,April,9,15,3,Tuesday,false
19400410,1940-04-10,1940,2,4,April,10,15,4,Wednesday,false
19400412,1940-04-12,1940,2,4,April,12,15,6,Friday,true
19400415,1940-04-15,1940,2,4,April,15,16,2,Monday,false
19400511,1940-05-11,1940,2,5,May,11,19,7,Saturday,true
19400517,1940-05-17,1940,2,5,May,17,20,6,Friday,true
19400608,1940-06-08,1940,2,6,June,8,23,7,Saturday,true
19400816,1940-08-16,1940,3,8,August,16,33,6,Friday,true
19400830,1940-08-30,1940,3,8,August,30,35,6,Friday,true
19400919,1940-09-19,1940,3,9,September,19,38,5,Thursday,true
19400920,1940-09-20,1940,3,9,September,20,38,6,Friday,true
19401015,1940-10-15,1940,4,10,October,15,42,3,Tuesday,false
19401113,1940-11-13,1940,4,11,November,13,46,4,Wednesday,false
19401122,1940-11-22,1940,4,11,November,22,47,6,Friday,true
19401129,1940-11-29,1940,4,11,November,29,48,6,Friday,true
19401209,1940-12-09,1940,4,12,December,9,50,2,Monday,false
19401213,1940-12-13,1940,4,12,December,13,50,6,Friday,true
19401225,1940-12-25,1940,4,12,December,25,52,4,Wednesday,false
19401227,1940-12-27,1940,4,12,December,27,52,6,Friday,true
19410116,1941-01-16,1941,1,1,January,16,3,5,Thursday,true
19410125,1941-01-25,1941,1,1,January,25,4,7,Saturday,true
19410321,1941-03-21,1941,1,3,March,21,12,6,Friday,true
19410420,1941-04-20,1941,2,4,April,20,16,1,Sunday,false
19410430,1941-04-30,1941,2,4,April,30,18,4,Wednesday,false
19410509,1941-05-09,1941,2,5,May,9,19,6,Friday,true
19410530,1941-05-30,1941,2,5,May,30,22,6,Friday,true
19410621,1941-06-21,1941,2,6,June,21,25,7,Saturday,true
19410702,1941-07-02,1941,3,7,July,2,27,4,Wednesday,false
19410725,1941-07-25,1941,3,7,July,25,30,6,Friday,true
19410820,1941-08-20,1941,3,8,August,20,34,4,Wednesday,false
19410925,1941-09-25,1941,3,9,September,25,39,5,Thursday,true
19410926,1941-09-26,1941,3,9,September,26,39,6,Friday,true
19411017,1941-10-17,1941,4,10,October,17,42,6,Friday,true
19411022,1941-10-22,1941,4,10,October,22,43,4,Wednesday,false
19411028,1941-10-28,1941,4,10,October,28,44,3,Tuesday,false
19411031,1941-10-31,1941,4,10,October,31,44,6,Friday,true
19411118,1941-11-18,1941,4,11,November,18,47,3,Tuesday,false
19411121,1941-11-21,1941,4,11,November,21,47,6,Friday,true
19411124,1941-11-24,1941,4,11,November,24,48,2,Monday,false
19411130,1941-11-30,1941,4,11,November,30,48,1,Sunday,false
19411208,1941-12-08,1941,4,12,December,8,50,2,Monday,false
19420219,1942-02-19,1942,1,2,February,19,8,5,Thursday,true
19420305,1942-03-05,1942,1,3,March,5,10,5,Thursday,true
19420401,1942-04-01,1942,2,4,April,1,14,4,Wednesday,false
19420508,1942-05-08,1942,2,5,May,8,19,6,Friday,true
19420513,1942-05-13,1942,2,5,May,13,20,4,Wednesday,false
19420604,1942-06-04,1942,2,6,June,4,23,5,Thursday,true
19420710,1942-07-10,1942,3,7,July,10,28,6,Friday,true
19420731,1942-07-31,1942,3,7,July,31,31,6,Friday,true
19420805,1942-08-05,1942,3,8,August,5,32,4,Wednesday,false
19420811,1942-08-11,1942,3,8,August,11,33,3,Tuesday,false
19420814,1942-08-14,1942,3,8,August,14,33,6,Friday,true
19420905,1942-09-05,1942,3,9,September,5,36,7,Saturday,true
19420916,1942-09-16,1942,3,9,September,16,38,4,Wednesday,false
19420918,1942-09-18,1942,3,9,September,18,38,6,Friday,true
19421008,1942-10-08,1942,4,10,October,8,41,5,Thursday,true
19421021,1942-10-21,1942,4,10,October,21,43,4,Wednesday,false
19421023,1942-10-23,1942,4,10,October,23,43,6,Friday,true
19421126,1942-11-26,1942,4,11,November,26,48,5,Thursday,true
19421217,1942-12-17,1942,4,12,December,17,51,5,Thursday,true
19430101,1943-01-01,1943,1,1,January,1,53,6,Friday,true
19430211,1943-02-11,1943,1,2,February,11,6,5,Thursday,true
19430409,1943-04-09,1943,2,4,April,9,14,6,Friday,true
19430422,1943-04-22,1943,2,4,April,22,16,5,Thursday,true
