company_id,company_name
1,.406 Production
2,100 Bares
3,101st Street Films
4,10th Hole Productions
5,120 Films
6,120dB Films
7,129 Productions
8,1492 Pictures
9,1600 Limited Partnership
10,1818
11,1821 Pictures
12,19 Entertainment
13,1984 Private Defense Contractors
14,2 Entertain
15,2 Loop Films
16,20th Century Fox
17,20th Century Fox Home Entertainment
18,20th Century Fox Russia
19,20th Century Fox Television
20,21 Laps Entertainment
21,21st Century Film Corporation
22,22 & Indiana Pictures
23,22h22
24,24P Media Group
25,26 Films
26,27 Films Production
27,2929 Productions
28,2D Entertainment
29,2DUX²
30,3 Arts Entertainment
31,3 Miles Apart Productions Ltd.
32,3 Ring Circus Films
33,3 emme cinematografica
34,3 in the Box
35,3-H Films
36,3311 Productions
37,360 Pictures
38,369 Productions
39,391 Productions
40,3B Productions
41,3L Filmverleih
42,3Mark Entertainment
43,3ality Digital Entertainment
44,3b productions
45,4 1/2 Film
46,4 Cats Pictures
47,4 Kids Entertainment
48,40 Acres & A Mule Filmworks
49,403 Productions
50,42
51,4Kids Entertainment
52,4M
53,4k Films
54,5150 Action
55,60/80 Productions
56,606 Films
57,7 Films Cinéma
58,80 Days Productions
59,87Eleven
60,8:38 Productions
61,9.14 Pictures
62,98 MPH Productions
63,A
64,A Band Apart
65,A Bigger Boat
66,A Contracorriente Films
67,A Grand Elephant
68,A Loopy Production LLC
69,A Million Monkeys
70,A Plus Image
71,A%26E IndieFilms
72,A&B Producoes
73,A&M Films
74,A-Team
75,A. Film
76,A. Ninety-Three Productions
77,A.C. Lyles Productions
78,A.C.E.
79,A.I.E.
80,A.J.O.Z. Films
81,A.M.A. Film
82,A.P.P.P.
83,A.V.H. San Luis
84,A113
85,A24
86,AAMPI Inc.
87,AARU Productions
88,AB Films
89,AB Svensk Filmindustri
90,AB3
91,ABC Entertainment
92,ABC Motion Pictures
93,ABC Pictures
94,ABS-CBN Film Productions
95,ADF Acquisitions
96,AE Electra Productions
97,AE Two Film Productions
98,AEC
99,AFG Talons Productions
100,AFS Film
101,ALEF Film & Media Group
102,AM Associates
103,AMLF
104,ANA Media
105,APJAC Productions
106,AR Films
107,AR-TL
108,ARD
109,ARD Degeto Film
110,ARD/Degeto Film GmbH
111,ARP Sélection
112,ARTE
113,ARTE France Cinéma
114,ARY Films
115,ASAF
116,ASIG Productions
117,ASQA Film Partnership
118,ATO Pictures
119,ATR Films
