id,title,release_date,budget,revenue
43908,Kosmos,2010-02-17,0.0,79914.0
50272,We Are What We Are,2010-11-12,0.0,81381.0
79179,God's Country,1985-06-07,0.0,491737.0
62321,Attenberg,2010-09-14,0.0,69961.0
11376,Swimming Pool,2001-10-04,7800000.0,22441323.0
62077,Neon Flesh,2010-10-09,4364700.0,486756.0
49022,Something Borrowed,2011-05-05,35000000.0,59901913.0
55721,Bridesmaids,2011-04-28,32500000.0,288383523.0
32654,The Storm Warriors,2009-12-10,100000000.0,0.0
13507,Intimate Enemies,2007-01-01,9780000.0,0.0
39410,Mothra,1961-07-30,0.0,10000000.0
1679,Godzilla Raids Again,1955-04-24,800000.0,1952653.0
47518,The Tortured,2010-06-15,8500000.0,0.0
51608,The Man from Nowhere,2010-08-04,1255000.0,43059790.0
8967,The Tree of Life,2011-05-18,32000000.0,54674226.0
52077,Nothing to Declare,2010-12-15,28000000.0,93800000.0
32120,No Time For Love,1943-11-10,2800000.0,0.0
56271,Double Take,2009-02-10,24000000.0,31600000.0
5937,John Rabe,2009-04-02,20000000.0,0.0
38931,Oh My God,2009-11-13,2500000.0,19000000.0
3107,Destroy All Monsters,1968-08-01,0.0,1568760.0
79649,Eyes of a Stranger,1981-02-11,800000.0,1118634.0
53413,The Strange Case of Angelica,2010-12-29,2000000.0,0.0
83230,Trails,1978-05-19,500.0,0.0
113653,Prison,1949-03-19,4000000.0,354704.0
60164,The Speed of Thought,2011-04-29,2000000.0,0.0
37206,A Shine of Rainbows,2009-10-01,6000000.0,0.0
45033,20 Seconds of Joy,2012-01-01,337200.0,0.0
59678,Attack the Block,2011-05-12,14350531.0,3964682.0
59468,The Way,2010-09-10,0.0,4430765.0
51533,Let the Bullets Fly,2010-12-16,0.0,104731450.0
80027,Kings of the Sun,1963-12-18,4000000.0,0.0
34184,The Burglars,1971-10-31,0.0,33000000.0
49020,Submarine,2011-03-18,0.0,864659.0
43489,Brewster's Millions,1945-04-07,20000000.0,45833132.0
52918,The Oath,2010-05-09,0.0,404000.0
79072,Falling,2006-09-08,2705100.0,9828.0
114044,Interkosmos,2006-01-06,9500.0,0.0
37523,Envy,2009-08-08,40000000.0,14494036.0
19963,Bernie,1996-11-27,5000000.0,9206470.0
105981,Lucky Star,1929-08-18,9023199.0,0.0
15766,"Ghidorah, the Three-Headed Monster",1964-12-20,0.0,3237880.0
56272,Elektra Luxx,2010-03-14,0.0,10.0
13378,Mickey's Twice Upon a Christmas,2004-01-01,10000000.0,0.0
50069,Yoo Hoo Mrs Goldberg,2009-07-10,0.0,1131688.0
58224,Mr. Popper's Penguins,2011-06-17,55000000.0,187361754.0
47386,YellowBrickRoad,2010-01-23,500000.0,0.0
97831,Once Is Not Enough,1975-06-20,0.0,15700569.0
14552,"Have Dreams, Will Travel",2007-05-21,5000000.0,0.0
59111,Kalamity,2010-10-22,2000000.0,0.0
44991,The Four-Faced Liar,2010-01-01,2000000.0,0.0
108213,King of Jazz,1930-04-20,2000000.0,0.0
85430,Girl Play,2004-07-11,1000000.0,11522.0
147846,The Letter,1929-03-17,10000000.0,0.0
53256,Three,2010-12-23,9000000.0,2611555.0
60302,"Cougars, Inc.",2011-05-10,1000000.0,0.0
41360,Hunter Prey,2009-01-01,425000.0,0.0
25867,De Dana Dan,2009-11-27,8000000.0,9000000.0
66113,In Her Skin,2009-03-13,7000000.0,0.0
30645,Mondo Trasho,1969-03-14,2100.0,0.0
108923,The Mysterious Lady,1928-08-04,337000.0,551.0
63144,Page One: Inside the New York Times,2011-04-29,0.0,429766.0
109251,The Promise,1979-03-08,90000000.0,12448676.0
20055,The Betrayed,2008-09-27,3500000.0,0.0
86262,Like You Know It All,2009-05-14,100000.0,208867.0
37832,Mammuth,2010-04-21,3000000.0,7100000.0
12432,A Perfect Day,2008-01-01,0.0,1702433.0
1482,Laws of Gravity,1992-03-21,38000.0,0.0
40047,Elvis,1979-02-10,2100000.0,288670284.0
94725,To Sleep with Anger,1990-09-11,0.0,1161627.0
37189,Four Adventures of Reinette and Mirabelle,1987-02-04,0.0,575.0
49594,Snowblind,2010-11-11,300000.0,0.0
55895,Monogamy,2010-04-24,1000000.0,0.0
66195,The Perfect Host,2010-07-01,500000.0,14870.0
65058,Conan O'Brien Can't Stop,2011-06-24,0.0,223959.0
33765,A Kind of Loving,1962-04-12,213084.0,581138.0
27984,Far from Home,1989-06-30,160000000.0,1131927996.0
51828,One Day,2011-03-02,15000000.0,59389433.0
63287,The Poker House,2008-06-20,1000000.0,0.0
27588,Forget Me Not,2009-10-22,1300000.0,0.0
66942,Griff the Invisible,2011-08-19,2902660.0,0.0
59115,Quarantine 2: Terminal,2011-06-16,4000000.0,0.0
62106,Earth Days,2009-08-14,1200000.0,0.0
72558,Children,2006-09-09,500000.0,0.0
55632,Peep World,2010-09-15,0.0,10967.0
28480,Phantom,1922-11-13,10000000.0,1197759.0
54540,Beverly Hills Chihuahua 2,2011-02-01,12000000.0,12000000.0
42481,The Goalie's Anxiety at the Penalty Kick,1972-02-19,410000.0,100.0
60785,Exodus,2007-09-13,4000000.0,20000000.0
44117,Without Warning,1994-10-30,150000.0,0.0
63736,Almighty Thor,2011-05-07,200000.0,0.0
43935,Dylan Dog: Dead of Night,2011-03-16,20000000.0,4634062.0
12446,Angel of Mine,2008-06-13,0.0,230193.0
17086,Chromophobia,2005-01-01,10000000.0,0.0
107246,Exposed,1983-04-22,0.0,269915.0
50072,Forbidden,1932-01-09,1200000.0,0.0
20268,Last Stop 174,2008-10-24,4700000.0,1672292.0
12819,Alpha and Omega,2010-09-17,20000000.0,39300000.0
83105,The Boy in Blue,1986-01-17,0.0,275770.0
33927,Deadfall,1993-10-08,12000000.0,18.0
47854,Legend of the Fist: The Return of Chen Zhen,2010-09-01,0.0,48398.0
189005,Pennies from Heaven,1936-11-25,22000000.0,9171289.0
45839,FRED: The Movie,2010-09-18,4000000.0,1309580.0
88562,Assassination,1964-10-30,5000000.0,6075793.0
36956,Come Undone,2010-04-30,0.0,326484.0
63849,Almanya: Welcome to Germany,2011-05-13,0.0,14885722.0
78381,Twixt,2011-09-10,7000000.0,647839.0
51620,Death Race 2,2010-11-12,7000000.0,8000000.0
53146,The Debt,2007-11-29,20000000.0,45636368.0
51993,Terri,2011-07-01,0.0,144633.0
133781,Happy New Year,1987-08-07,25000000.0,41232.0
92465,Ponterosa,2001-03-30,350000.0,0.0
120995,Tevye,1939-12-21,750000.0,0.0
49520,The Change-Up,2011-08-05,52000000.0,75450437.0
81829,Bulldog Drummond,1929-05-02,550000.0,0.0
67675,Glee: The Concert Movie,2011-08-11,9000000.0,18663238.0
46584,The Trotsky,2009-09-11,6400000.0,0.0
59435,An Invisible Sign,2010-10-06,0.0,1279.0
50722,Vision – From the Life of Hildegard von Bingen,2009-09-24,0.0,5078060.0
82688,El Bulli: Cooking in Progress,2011-09-15,0.0,555264.0
51384,"Lovely, Still",2008-01-01,5000000.0,282687.0
43120,Missile to the Moon,1958-11-15,65000.0,0.0
40794,Loose Cannons,2010-02-12,7000000.0,8220215.0
42973,Queen to Play,2009-08-05,0.0,1056938.0
47261,Carancho,2010-05-06,0.0,9961838.0
44835,Hesher,2010-01-22,7000000.0,382946.0
33470,American Boy: A Profile of: Steven Prince,1978-09-16,155000.0,0.0
58492,The Greatest Movie Ever Sold,2011-04-22,0.0,621951.0
48289,The Debt,2010-04-11,20000000.0,45636368.0
55244,Bill Cunningham New York,2010-03-24,0.0,1339650.0
18634,Puzzlehead,2005-04-21,500000.0,0.0
29491,The Possession of Joel Delaney,1972-05-24,1300000.0,0.0
63311,The Skin I Live In,2011-08-17,13000000.0,5774854.0
20441,The Messengers 2: The Scarecrow,2009-07-21,0.0,1521800.0
121530,Boys,1977-02-26,0.0,516349.0
15052,The Lodger,2009-01-14,800000.0,0.0
11388,Stay Cool,2009-04-23,4500000.0,0.0
