id,title,release_date,budget,revenue
169607,Finding Vivian Maier,2014-03-28,0.0,1503616.0
204968,Jack Strong,2014-02-07,3335702.0,0.0
171372,Frank,2014-05-02,1000000.0,645186.0
64976,Day of the Animals,1977-05-13,1200000.0,0.0
186988,Honey,2013-05-01,18000000.0,62646763.0
72951,Not Another Not Another Movie,2011-10-17,4.0,66468332.0
139406,Radio Free Albemuth,2010-01-01,3600000.0,0.0
267999,White God,2014-06-12,0.0,282358.0
213635,Luther,1974-01-21,30000000.0,29400000.0
92323,Willie and Phil,1980-08-15,5500000.0,4400000.0
250766,Life Itself,2014-07-04,10000000.0,7997774.0
83721,The Great Magician,2011-12-22,15000000.0,0.0
41517,Ra.One,2011-10-24,24000000.0,35911689.0
169298,Bullet,2014-02-25,3000000.0,0.0
29058,The Beast with a Million Eyes,1958-06-15,23000.0,0.0
84801,Summer School,1978-05-01,0.0,35114428.0
184346,Deliver Us from Evil,2014-07-01,12000000.0,34662454.0
224076,The Saratov Approach,2013-10-09,0.0,2146999.0
259233,Ju-on: The Beginning of the End,2014-06-28,0.0,8867935.0
206574,Unrated II: Scary as Hell,2011-02-26,15000.0,0.0
262267,Darkest Night,2012-10-20,0.0,9953934.0
65096,EMR,2004-01-01,150000.0,0.0
244267,I Origins,2014-07-18,1000000.0,336472.0
79553,The Front Line,2011-07-20,10000000.0,15786086.0
214075,Words and Pictures,2013-09-06,0.0,3346257.0
208284,The Strange Color of Your Body's Tears,2013-08-12,0.0,7182.0
262958,Jimmy's Hall,2014-05-30,0.0,2606000.0
235984,Goliyon Ki Raasleela Ram-Leela,2013-11-15,0.0,32000000.0
184315,Hercules,2014-07-23,85000000.0,243400000.0
150897,Paradise: Hope,2013-02-08,0.0,6701.0
56329,The Detective,2007-09-25,4490000.0,6500000.0
87966,Valley of the Dragons,1961-10-31,125000.0,0.0
38691,Coney Island,1917-10-29,1620000.0,3305000.0
172542,Go for Sisters,2013-11-08,0.0,70495.0
54013,The Visitor,1979-03-22,800000.0,18197518.0
40990,The Keeper,2004-05-14,4000000.0,0.0
215962,The Stag,2013-09-10,600000.0,0.0
31896,Finding Bliss,2009-01-01,1500000.0,6783.0
35837,Boogie,2009-10-22,20000000.0,0.0
27906,Call of the Wild,2009-06-12,109000000.0,270210.0
149893,Two Lives,2012-10-19,0.0,1649260.0
57331,Largo Winch II,2011-02-16,21169000.0,14400000.0
63333,Gog,1954-06-04,250000.0,0.0
27270,America 3000,1986-04-08,2000000.0,0.0
239566,Get on Up,2014-08-01,30000000.0,31911598.0
217316,1,2013-09-30,24000000.0,54000000.0
265169,Winter Sleep,2014-06-13,0.0,4018705.0
252822,In Order of Disappearance,2014-02-21,4161012.0,0.0
94196,Zarafa,2012-01-25,10750000.0,12197574.0
242643,Batman: Assault on Arkham,2014-08-12,0.0,4571025.0
193722,R100,2013-10-05,5500000.0,0.0
244610,The Den,2013-12-12,500000.0,410129.0
76757,Jupiter Ascending,2015-02-04,176000000.0,183987723.0
296778,Death in Buenos Aires,2014-05-05,500000.0,0.0
56085,Camouflage,2001-01-09,10000000.0,0.0
243935,Rob the Mob,2014-03-21,0.0,206909.0
112999,The Hero,1966-05-06,0.0,4077333.0
174337,The Pretty One,2014-02-07,0.0,13769.0
286709,Revenge of the Green Dragons,2014-03-15,5000000.0,0.0
81543,So Much So Fast,2006-10-09,0.0,21994.0
42825,Crossroads,1942-07-23,0.0,5738952.0
314285,Antboy: Revenge of the Red Fury,2014-12-25,0.0,2080529.0
124972,Generation Um...,2012-07-11,1700000.0,0.0
69225,Switch,2011-06-04,0.0,15545943.0
56268,Captain Blood,1960-10-05,1200000.0,0.0
242022,The Inbetweeners 2,2014-08-06,0.0,63852235.0
71320,Breaking Point,1976-06-02,0.0,3559250.0
81828,My Summer Story,1994-09-23,15000000.0,70.0
212769,Make Your Move,2013-08-07,15000000.0,122.0
86997,The Message,1976-03-09,10000000.0,15000000.0
75785,The Other F Word,2011-11-02,0.0,53714.0
157823,Night Moves,2014-04-23,0.0,271755.0
82760,Avalon,2011-09-11,8000000.0,8826094.0
76329,Happy New Year,1973-04-13,25000000.0,0.0
221902,"Two Days, One Night",2014-05-21,7000000.0,6860853.0
60228,Losers' Club,2011-03-23,0.0,2692857.0
259761,Lights Out,2013-12-01,4900000.0,149368835.0
220289,Coherence,2013-09-19,50000.0,102617.0
91207,A Woman's Tale,1991-09-26,0.0,393000.0
25747,Beautiful,2008-02-14,1500000.0,56000.0
242090,The One I Love,2014-08-08,0.0,513447.0
247182,El niño,2014-08-29,7013004.0,0.0
94590,Angry Video Game Nerd: The Movie,2014-07-21,325927.0,0.0
98250,The Long Ride Home,2003-03-27,3500000.0,0.0
35568,2081,2009-05-29,100000.0,0.0
124295,Anna,1994-02-16,34000000.0,31626978.0
212530,The Great King,1942-03-02,0.0,54114815.0
234200,Pride,2014-09-12,0.0,7523634.0
188839,Aftermath,2012-08-24,10500000.0,840809.0
254191,Honeymoon,2014-09-12,1000000.0,9318.0
244517,God's Pocket,2014-05-09,0.0,169976.0
80853,Tennessee Johnson,1942-12-01,1042000.0,0.0
288130,A Good Job: Stories of the FDNY,2014-09-08,600000.0,0.0
244772,The Skeleton Twins,2014-01-18,1000000.0,5284309.0
287590,Saint Seiya: Legend of Sanctuary,2014-06-21,8000000.0,17150803.0
27740,A Return to Salem's Lot,1987-05-01,12000000.0,0.0
83188,Camel Spiders,2011-03-04,500000.0,0.0
27286,Beautiful Losers,2008-04-01,0.0,56386.0
96600,Grassroots,2012-06-22,0.0,10798.0
196325,American Dreams in China,2013-05-18,0.0,88000000.0
