id,title,release_date,budget,revenue
862,Toy Story,1995-10-30,30000000.0,373554033.0
8844,Jumanji,1995-12-15,65000000.0,262797249.0
31357,Waiting to Exhale,1995-12-22,35000000.0,81452156.0
11862,Father of the Bride Part II,1995-02-10,7500000.0,76578911.0
949,Heat,1995-12-15,60000000.0,187436818.0
9091,Sudden Death,1995-12-22,35000000.0,64350171.0
710,GoldenEye,1995-11-16,10000000.0,352194034.0
9087,The American President,1995-11-17,62000000.0,107879496.0
10858,Nixon,1995-12-22,44000000.0,13681765.0
1408,Cutthroat Island,1995-12-22,98000000.0,10017322.0
524,Casino,1995-11-22,500000.0,116112375.0
4584,Sense and Sensibility,1995-12-13,16500000.0,135000000.0
5,Four Rooms,1995-12-09,4000000.0,4300000.0
9273,Ace Ventura: When Nature Calls,1995-11-10,30000000.0,212385533.0
11517,Money Train,1995-11-21,60000000.0,35431113.0
8012,Get Shorty,1995-10-20,30250000.0,115101622.0
9691,Assassins,1995-10-06,6000000.0,30303072.0
12665,Powder,1995-10-27,200000000.0,1921847111.0
451,Leaving Las Vegas,1995-10-27,3600000.0,49800000.0
16420,Othello,1995-12-15,15000000.0,109000000.0
902,The City of Lost Children,1995-05-16,18000000.0,1738611.0
9909,Dangerous Minds,1995-08-11,7552917.0,180000000.0
9598,Babe,1995-07-18,30000000.0,254134910.0
687,Dead Man Walking,1995-12-29,5000000.0,39363635.0
139405,Across the Sea of Time,1995-10-20,44000000.0,12342632.0
34615,"Cry, the Beloved Country",1995-12-15,1000000.0,676525.0
11443,Dead Presidents,1995-10-06,10000000.0,7700259.0
9312,Mortal Kombat,1995-08-18,18000000.0,122195920.0
577,To Die For,1995-05-20,20000000.0,21284514.0
11861,How To Make An American Quilt,1995-10-06,10000000.0,23574130.0
807,Se7en,1995-09-22,33000000.0,327311859.0
10530,Pocahontas,1995-06-14,55000000.0,346079773.0
8391,When Night Is Falling,1995-05-05,25000000.0,411006740.0
629,The Usual Suspects,1995-07-19,6000000.0,23341568.0
11448,Mighty Aphrodite,1995-09-13,15000000.0,6700000.0
97406,Georgia,1995-05-19,20000000.0,66976317.0
9089,Home for the Holidays,1995-11-02,10500000.0,17519169.0
11359,The Indian in the Cupboard,1995-07-14,45000000.0,259510.0
2054,Mr. Holland's Opus,1995-12-29,1700000.0,106269971.0
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996-01-12,225000.0,1866462.0
9536,Bio-Dome,1996-01-12,15000000.0,45636368.0
11525,Lawnmower Man 2: Beyond Cyberspace,1996-01-12,8000000.0,2409225.0
10634,Friday,1995-04-26,3500000.0,28215918.0
755,From Dusk Till Dawn,1996-01-19,19000000.0,25836616.0
11859,Fair Game,1995-11-03,50000000.0,11534477.0
28387,Kicking and Screaming,1995-10-06,3000000.0,718490.0
48750,Les Miserables,1995-03-22,18000000.0,11500000.0
36929,Big Bully,1996-01-26,58500000.0,2042530.0
9102,Screamers,1995-09-08,20000000.0,5781885.0
46785,The White Balloon,1995-01-01,30000000.0,6200000.0
400,Things to Do in Denver When You're Dead,1995-12-01,8000000.0,529766.0
880,Antonia's Line,1995-09-12,900000.0,871351.0
10534,White Squall,1996-02-02,38000000.0,10300000.0
17414,Dunston Checks In,1996-01-12,16000000.0,5874530.0
2086,Nick of Time,1995-11-22,8169363.0,8175346.0
61548,The Journey of August King,1995-09-14,9400000.0,20000000.0
9095,Mary Reilly,1996-02-23,47000000.0,12379402.0
12158,Vampire in Brooklyn,1995-10-26,10000000.0,19800000.0
9283,Beautiful Girls,1996-02-09,7000000.0,23280529.0
9208,Broken Arrow,1996-02-09,50000000.0,150270147.0
63076,Heidi Fleiss: Hollywood Madam,1995-12-27,38000000.0,29907685.0
11062,City Hall,1996-02-16,15000000.0,308641.0
13685,Bottle Rocket,1996-02-21,10000000.0,560069.0
2045,Unforgettable,1996-02-23,18000000.0,1868949.0
9614,Happy Gilmore,1996-02-16,12000000.0,41205099.0
688,The Bridges of Madison County,1995-05-28,24000000.0,182016617.0
10874,Muppet Treasure Island,1996-02-16,1500000.0,34327391.0
96357,Headless Body in Topless Bar,1995-05-20,900000.0,898994.0
197,Braveheart,1995-05-24,72000000.0,210000000.0
103,Taxi Driver,1976-02-07,1300000.0,28262574.0
33542,Rumble in the Bronx,1995-01-30,250000.0,32392047.0
71754,Margaret's Museum,1995-09-13,80000000.0,5989640.0
16934,The Young Poisoner's Handbook,1995-01-20,14000000.0,547333.0
10324,If Lucy Fell,1996-03-08,19000000.0,141407024.0
78406,Steal Big Steal Little,1995-09-29,25000000.0,6278139.0
11066,Boomerang,1992-06-30,40000000.0,70100000.0
11104,Chungking Express,1994-07-14,10000000.0,365734.0
2074,Flirting with Disaster,1996-03-22,7000000.0,14702438.0
44284,The Silences of the Palace,1994-09-30,32000000.0,36700000.0
11863,Jade,1995-10-13,50000000.0,9851610.0
55475,Nueba Yol,1995-08-16,17000000.0,293671.0
11000,The Birdcage,1996-03-08,31000000.0,185260553.0
16388,The Brothers McMullen,1995-08-09,14000000.0,254988.0
9737,Bad Boys,1995-04-07,19000000.0,141407024.0
10474,The Basketball Diaries,1995-04-21,3500000.0,3657876.0
22279,An Awfully Big Adventure,1995-07-21,4000000.0,851545.0
30157,Amateur,1994-08-05,20000000.0,45847751.0
568,Apollo 13,1995-06-30,52000000.0,355237933.0
11780,Rob Roy,1995-04-13,28000000.0,31596911.0
34996,The Addiction,1995-01-10,7500000.0,6584159.0
414,Batman Forever,1995-06-16,100000000.0,336529144.0
649,Belle de Jour,1967-05-24,20000000.0,70700000.0
1873,Beyond Rangoon,1995-05-24,2295691.0,1593126.0
5894,Blue in the Face,1995-09-15,4000000.0,1275000.0
1775,Canadian Bacon,1995-06-08,6000000.0,178104.0
8839,Casper,1995-05-26,50000000.0,287928194.0
20649,Clockers,1995-09-15,25000000.0,13071518.0
10329,Congo,1995-06-09,50000000.0,152022101.0
8963,Crimson Tide,1995-05-12,780000.0,157387195.0
26564,Crumb,1994-09-10,4500000.0,3174695.0
8068,Desperado,1995-08-25,250000.0,25405445.0
8512,Devil in a Blue Dress,1995-09-15,27000000.0,16140822.0
1572,Die Hard: With a Vengeance,1995-05-19,1500000.0,366101666.0
13552,The Doom Generation,1995-10-27,1500000.0,3187700.0
6520,First Knight,1995-07-07,55000000.0,127600435.0
10428,Hackers,1995-09-14,20000000.0,7563728.0
9482,Judge Dredd,1995-06-30,90000000.0,113493481.0
9344,Kids,1995-07-28,1500000.0,7412216.0
9071,Living in Oblivion,1995-01-20,500000.0,1148752.0
47608,Mad Love,1995-05-26,800000.0,15453274.0
2293,Mallrats,1995-10-20,6000000.0,2122561.0
9070,Mighty Morphin Power Rangers: The Movie,1995-06-30,15000000.0,66000000.0
34574,Nadja,1994-09-13,150000000.0,474968763.0
1642,The Net,1995-07-28,22000000.0,110627965.0
36196,Party Girl,1995-06-09,23000000.0,472370.0
10533,The Scarlet Letter,1995-10-13,50000000.0,10382407.0
56088,The Show,1995-08-25,30000000.0,21600000.0
10802,Showgirls,1995-09-22,45000000.0,20350754.0
10149,Smoke,1995-06-09,7000000.0,8349430.0
18402,Something to Talk About,1995-08-04,12000000.0,50892160.0
9348,Species,1995-07-07,35000000.0,113374103.0
281,Strange Days,1995-10-13,42000000.0,7959291.0
79593,The Tie That Binds,1995-09-08,14000000.0,5780000.0
47939,Three Wishes,1995-10-27,780000.0,7025496.0
36834,Total Eclipse,1995-11-02,8000000.0,339889.0
3512,Under Siege 2: Dark Territory,1995-07-13,60000000.0,104324083.0
9560,A Walk in the Clouds,1995-08-11,20000000.0,50012507.0
9804,Waterworld,1995-07-28,175000000.0,264218220.0
26258,Bushwhacked,1995-08-04,27440000.0,27729359.0
50797,Burnt by the Sun,1994-05-01,2800000.0,2616503.0
76,Before Sunrise,1995-01-27,2500000.0,5535405.0
11017,Billy Madison,1995-02-10,10000000.0,26488734.0
9382,Boys on the Side,1995-02-03,21000000.0,23450000.0
6715,The Cure,1995-04-21,43000000.0,56681566.0
18256,Castle Freak,1995-08-04,8000000.0,4600000.0
1909,Don Juan DeMarco,1994-10-01,25000000.0,22200000.0
8984,Disclosure,1994-12-09,55000000.0,214015089.0
61813,Dream Man,1995-01-01,2800000.0,26000000.0
4954,Drop Zone,1994-12-08,45000000.0,8009329.0
11929,Dolores Claiborne,1995-03-24,12000000.0,38528984.0
8467,Dumb and Dumber,1994-12-16,16000000.0,247275374.0
10451,Eat Drink Man Woman,1994-08-03,21000000.0,7294403.0
20156,Exotica,1994-09-24,4000000.0,851156.0
522,Ed Wood,1994-09-27,18000000.0,5887457.0
10525,Forget Paris,1995-05-19,7000000.0,6000000.0
27303,Hideaway,1995-03-03,15000000.0,12201255.0
47867,Gordy,1995-05-12,7000000.0,3992809.0
72031,The Glass Shield,1994-09-16,20000000.0,18900000.0
14275,Hoop Dreams,1994-09-12,20000000.0,7830611.0
1024,Heavenly Creatures,1994-09-02,5000000.0,3049135.0
17207,Houseguest,1995-01-06,10500000.0,26325256.0
11777,I.Q.,1994-12-24,25000000.0,4100000.0
628,Interview with the Vampire,1994-11-11,60000000.0,223664608.0
87729,Jefferson in Paris,1995-03-31,491000.0,2474000.0
6280,Junior,1994-11-22,60000000.0,37000000.0
6071,Kiss of Death,1995-04-21,40000000.0,111898845.0
11,Star Wars,1977-05-25,11000000.0,775398007.0
9587,Little Women,1994-12-21,18000000.0,29882645.0
18183,Like Water for Chocolate,1992-04-16,2000000.0,21665468.0
4476,Legends of the Fall,1994-12-16,30000000.0,160638883.0
47504,Little Odessa,1994-10-27,2280000.0,1700000.0
43742,Love Affair,1994-10-21,60000000.0,3000000.0
28313,Losing Isaiah,1995-03-17,17000000.0,7603766.0
3036,Mary Shelley's Frankenstein,1994-11-04,45000000.0,112006296.0
40490,Man of the House,1995-03-03,10000000.0,4000000.0
24070,Mixed Nuts,1994-12-21,15000000.0,11000000.0
10510,Miracle on 34th Street,1994-11-18,825000.0,46264384.0
8438,Murder in the First,1995-01-20,3000000.0,17381942.0
1945,Nell,1994-12-23,31000000.0,106683817.0
63105,Nemesis 2 - Nebula,1995-09-26,18000000.0,11500000.0
131957,Nina Takes a Lover,1995-03-03,6000000.0,7185518.0
241,Natural Born Killers,1994-08-25,3000000.0,50282766.0
9058,Only You,1994-09-17,3500000.0,11600000.0
527,Once Were Warriors,1994-09-02,185000.0,2201126.0
18220,Poison Ivy II: Lily,1996-01-16,4380750.0,1947000.0
6950,Outbreak,1995-03-10,50000000.0,189859560.0
101,Leon: The Professional,1994-09-14,16000000.0,45284974.0
63020,The Perez Family,1995-05-12,11000000.0,2832826.0
680,Pulp Fiction,1994-09-10,8000000.0,213928762.0
41478,Panther,1995-11-10,286281.0,6834525.0
