title,budget,revenue
Toy Story,30000000.0,394436586.0
Jumanji,65000000.0,262821940.0
Grumpier Old Men,25000000.0,71500000.0
Waiting to Exhale,16000000.0,81452156.0
Father of the Bride Part II,0.0,76594107.0
Heat,60000000.0,187400000.0
Sabrina,2239000.0,10000000.0
Tom and Huck,0.0,23920048.0
Sudden Death,35000000.0,64350171.0
GoldenEye,60000000.0,352194034.0
The American President,62000000.0,107879496.0
Dracula: Dead and Loving It,30000000.0,10772144.0
Balto,31000000.0,11348324.0
Nixon,44000000.0,13681765.0
Cutthroat Island,98000000.0,16000000.0
Casino,50000000.0,116112375.0
Sense and Sensibility,0.0,0.0
Four Rooms,4000000.0,4257354.0
Ace Ventura: When Nature Calls,30000000.0,212385533.0
Money Train,68000000.0,77224232.0
Get Shorty,30250000.0,115101622.0
Copycat,20000000.0,32000000.0
Assassins,0.0,0.0
Powder,9500000.0,30900000.0
Leaving Las Vegas,3600000.0,49800000.0
Othello,11000000.0,2800000.0
Now and Then,5000.0,0.0
Persuasion,0.0,0.0
The City of Lost Children,18000000.0,1738611.0
Shanghai Triad,2300000.0,0.0
Dangerous Minds,23000000.0,179519401.0
Twelve Monkeys,29000000.0,168841459.0
Wings of Courage,0.0,0.0
Babe,30000000.0,254100000.0
Carrington,0.0,0.0
Dead Man Walking,11000000.0,39363635.0
Across the Sea of Time,0.0,16015639.0
It Takes Two,19474589.0,19474589.0
Clueless,12000000.0,56631572.0
"Cry, the Beloved Country",0.0,676525.0
Richard III,0.0,2748518.0
Dead Presidents,10000000.0,24100000.0
Restoration,19000000.0,4005941.0
Mortal Kombat,0.0,0.0
To Die For,797118.0,0.0
How To Make An American Quilt,10000000.0,41200020.0
Se7en,33000000.0,327311859.0
Pocahontas,0.0,0.0
When Night Is Falling,0.0,0.0
The Usual Suspects,6000000.0,23300000.0
Guardian Angel,0.0,0.0
Mighty Aphrodite,15000000.0,6700000.0
Lamerica,0.0,0.0
The Big Green,0.0,0.0
Georgia,0.0,1110974.0
Kids of the Round Table,0.0,0.0
Home for the Holidays,20000000.0,22119269.0
The Postman,80000000.0,17626234.0
The Confessional,0.0,0.0
The Indian in the Cupboard,45000000.0,35700000.0
Eye for an Eye,0.0,0.0
Mr. Holland's Opus,31000000.0,106300000.0
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,3800000.0,20100000.0
Two If by Sea,0.0,10658278.0
Bio-Dome,8500000.0,13400000.0
Lawnmower Man 2: Beyond Cyberspace,15000000.0,2409225.0
Two Bits,0.0,0.0
French Twist,0.0,0.0
Friday,3500000.0,28215918.0
From Dusk Till Dawn,19000000.0,25800000.0
Fair Game,50000000.0,11500000.0
Kicking and Screaming,0.0,718490.0
Les Miserables,0.0,0.0
Bed of Roses,0.0,19030691.0
Big Bully,15000000.0,2042530.0
Screamers,20000000.0,5781885.0
Nico Icon,0.0,0.0
The Crossing Guard,0.0,0.0
The Juror,44000000.0,22754725.0
The White Balloon,0.0,0.0
Things to Do in Denver When You're Dead,8000000.0,529766.0
Antonia's Line,900000.0,0.0
Once Upon a Time... When We Were Colored,0.0,0.0
Last Summer in the Hamptons,0.0,0.0
Angels and Insects,0.0,0.0
White Squall,38000000.0,10300000.0
Dunston Checks In,16000000.0,0.0
Black Sheep,32400000.0,32000000.0
Nick of Time,33000000.0,8175346.0
The Journey of August King,0.0,0.0
Mary Reilly,47000000.0,12379402.0
Vampire in Brooklyn,14000000.0,19800000.0
Beautiful Girls,16000000.0,27000000.0
Broken Arrow,50000000.0,150300000.0
A Midwinter's Tale,0.0,0.0
La Haine,2600000.0,15300000.0
Shopping,0.0,0.0
Heidi Fleiss: Hollywood Madam,0.0,0.0
City Hall,40000000.0,33440204.0
Bottle Rocket,0.0,0.0
Mr. Wrong,0.0,0.0
Unforgettable,12000000.0,17800000.0
Happy Gilmore,12000000.0,41205099.0
The Bridges of Madison County,24000000.0,182000000.0
Nobody Loves Me,0.0,0.0
Muppet Treasure Island,31000000.0,34300000.0
Catwalk,0.0,0.0
Headless Body in Topless Bar,0.0,0.0
Braveheart,72000000.0,213216216.0
Taxi Driver,12820005.0,81927980.0
Rumble in the Bronx,7500000.0,76028558.0
Before and After,35000000.0,8797839.0
Margaret's Museum,0.0,0.0
Happiness Is in the Field,13365000.0,0.0
Anne Frank Remembered,0.0,0.0
The Young Poisoner's Handbook,0.0,0.0
If Lucy Fell,5000000.0,2420162.0
Steal Big Steal Little,25000000.0,6278139.0
Race the Sun,0.0,0.0
The Boys of St. Vincent,0.0,204540.0
Boomerang,40000000.0,131052444.0
Chungking Express,160000.0,0.0
The Star Maker,0.0,0.0
Flirting with Disaster,7000000.0,14702438.0
The Neverending Story III: Escape from Fantasia,17000000.0,0.0
The Silences of the Palace,0.0,0.0
Jupiter's Wife,0.0,0.0
Pie in the Sky,0.0,0.0
Angela,0.0,0.0
Frankie Starlight,0.0,0.0
Jade,0.0,0.0
Nueba Yol,0.0,0.0
Sonic Outlaws,0.0,0.0
Down Periscope,0.0,37553585.0
From the Journals of Jean Seberg,0.0,0.0
Man of the Year,0.0,0.0
The Neon Bible,0.0,0.0
Target,0.0,0.0
Up Close & Personal,60000000.0,100688562.0
The Birdcage,31000000.0,185300000.0
Virgin Mary,0.0,0.0
The Brothers McMullen,0.0,0.0
Bad Boys,19000000.0,141407024.0
The Amazing Panda Adventure,0.0,7506759.0
The Basketball Diaries,2000000.0,2381087.0
An Awfully Big Adventure,4000000.0,851545.0
Amateur,0.0,0.0
Apollo 13,0.0,0.0
Rob Roy,0.0,0.0
The Addiction,0.0,0.0
Batman Forever,100000000.0,336529144.0
Belle de Jour,0.0,0.0
Beyond Rangoon,23000000.0,14700000.0
Blue in the Face,2000000.0,1300000.0
Canadian Bacon,11000000.0,178104.0
Casper,50000000.0,287928194.0
Clockers,25000000.0,13100000.0
Congo,50000000.0,152022101.0
Crimson Tide,53000000.0,157387195.0
Crumb,0.0,3041083.0
Desperado,7000000.0,25405445.0
Devil in a Blue Dress,27000000.0,16140822.0
Die Hard: With a Vengeance,90000000.0,366101666.0
The Doom Generation,800000.0,284785.0
Feast of July,0.0,0.0
First Knight,55000000.0,127600435.0
Free Willy 2 - The Adventure Home,31000000.0,30000000.0
Hackers,20000000.0,7563728.0
Jeffrey,0.0,3487767.0
Johnny Mnemonic,25000000.0,19075720.0
Judge Dredd,90000000.0,113493481.0
Jury Duty,0.0,17014653.0
Kids,1500000.0,20412216.0
Living in Oblivion,500000.0,1148752.0
Lord of Illusions,0.0,13294594.0
Love & Human Remains,0.0,0.0
Mad Love,0.0,15453274.0
Mallrats,6000000.0,2122561.0
Mighty Morphin Power Rangers: The Movie,15000000.0,66433194.0
Moonlight and Valentino,0.0,2484226.0
Mute Witness,0.0,0.0
Nadja,0.0,0.0
The Net,0.0,0.0
Nine Months,35000000.0,138500000.0
Party Girl,0.0,1341430.0
The Prophecy,8000000.0,16115878.0
Reckless,0.0,0.0
Safe,30000000.0,40300000.0
The Scarlet Letter,50000000.0,10382407.0
The Show,0.0,0.0
Showgirls,45000000.0,20350754.0
Smoke,7000000.0,8349430.0
Something to Talk About,30000000.0,77300000.0
Species,35000000.0,113400000.0
The Stars Fell on Henrietta,0.0,0.0
Strange Days,42000000.0,7959291.0
The Umbrellas of Cherbourg,200000.0,7600000.0
The Tie That Binds,14000000.0,5830454.0
Three Wishes,10000000.0,7027000.0
Total Eclipse,0.0,339889.0
