id,title,budget,revenue,date_id
862,Toy Story,30000000.0,373554033.0,19951030
8844,Jumanji,65000000.0,262797249.0,19951215
31357,Waiting to Exhale,35000000.0,81452156.0,19951222
11862,Father of the Bride Part II,7500000.0,76578911.0,19950210
949,Heat,60000000.0,187436818.0,19951215
9091,Sudden Death,35000000.0,64350171.0,19951222
710,GoldenEye,10000000.0,352194034.0,19951116
9087,The American President,62000000.0,107879496.0,19951117
10858,Nixon,44000000.0,13681765.0,19951222
1408,Cutthroat Island,98000000.0,10017322.0,19951222
524,Casino,500000.0,116112375.0,19951122
4584,Sense and Sensibility,16500000.0,135000000.0,19951213
5,Four Rooms,4000000.0,4300000.0,19951209
9273,Ace Ventura: When Nature Calls,30000000.0,212385533.0,19951110
11517,Money Train,60000000.0,35431113.0,19951121
8012,Get Shorty,30250000.0,115101622.0,19951020
9691,Assassins,6000000.0,30303072.0,19951006
12665,Powder,200000000.0,1921847111.0,19951027
451,Leaving Las Vegas,3600000.0,49800000.0,19951027
16420,Othello,15000000.0,109000000.0,19951215
902,The City of Lost Children,18000000.0,1738611.0,19950516
9909,Dangerous Minds,7552917.0,180000000.0,19950811
9598,Babe,30000000.0,254134910.0,19950718
687,Dead Man Walking,5000000.0,39363635.0,19951229
139405,Across the Sea of Time,44000000.0,12342632.0,19951020
34615,"Cry, the Beloved Country",1000000.0,676525.0,19951215
11443,Dead Presidents,10000000.0,7700259.0,19951006
9312,Mortal Kombat,18000000.0,122195920.0,19950818
577,To Die For,20000000.0,21284514.0,19950520
11861,How To Make An American Quilt,10000000.0,23574130.0,19951006
807,Se7en,33000000.0,327311859.0,19950922
10530,Pocahontas,55000000.0,346079773.0,19950614
8391,When Night Is Falling,25000000.0,411006740.0,19950505
629,The Usual Suspects,6000000.0,23341568.0,19950719
11448,Mighty Aphrodite,15000000.0,6700000.0,19950913
97406,Georgia,20000000.0,66976317.0,19950519
9089,Home for the Holidays,10500000.0,17519169.0,19951102
11359,The Indian in the Cupboard,45000000.0,259510.0,19950714
2054,Mr. Holland's Opus,1700000.0,106269971.0,19951229
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,225000.0,1866462.0,19960112
9536,Bio-Dome,15000000.0,45636368.0,19960112
11525,Lawnmower Man 2: Beyond Cyberspace,8000000.0,2409225.0,19960112
10634,Friday,3500000.0,28215918.0,19950426
755,From Dusk Till Dawn,19000000.0,25836616.0,19960119
11859,Fair Game,50000000.0,11534477.0,19951103
28387,Kicking and Screaming,3000000.0,718490.0,19951006
48750,Les Miserables,18000000.0,11500000.0,19950322
36929,Big Bully,58500000.0,2042530.0,19960126
9102,Screamers,20000000.0,5781885.0,19950908
46785,The White Balloon,30000000.0,6200000.0,19950101
400,Things to Do in Denver When You're Dead,8000000.0,529766.0,19951201
880,Antonia's Line,900000.0,871351.0,19950912
10534,White Squall,38000000.0,10300000.0,19960202
17414,Dunston Checks In,16000000.0,5874530.0,19960112
2086,Nick of Time,8169363.0,8175346.0,19951122
61548,The Journey of August King,9400000.0,20000000.0,19950914
9095,Mary Reilly,47000000.0,12379402.0,19960223
12158,Vampire in Brooklyn,10000000.0,19800000.0,19951026
9283,Beautiful Girls,7000000.0,23280529.0,19960209
9208,Broken Arrow,50000000.0,150270147.0,19960209
63076,Heidi Fleiss: Hollywood Madam,38000000.0,29907685.0,19951227
11062,City Hall,15000000.0,308641.0,19960216
13685,Bottle Rocket,10000000.0,560069.0,19960221
