id,title,budget,revenue,date_id
862,Toy Story,3.0E7,3.73554033E8,19951030
8844,Jumanji,6.5E7,2.62797249E8,19951215
31357,Waiting to Exhale,3.5E7,8.1452156E7,19951222
11862,Father of the Bride Part II,7500000.0,7.6578911E7,19950210
949,Heat,6.0E7,1.87436818E8,19951215
9091,Sudden Death,3.5E7,6.4350171E7,19951222
710,GoldenEye,1.0E7,3.52194034E8,19951116
9087,The American President,6.2E7,1.07879496E8,19951117
10858,Nixon,4.4E7,1.3681765E7,19951222
1408,Cutthroat Island,9.8E7,1.0017322E7,19951222
524,Casino,500000.0,1.16112375E8,19951122
4584,Sense and Sensibility,1.65E7,1.35E8,19951213
5,Four Rooms,4000000.0,4300000.0,19951209
9273,Ace Ventura: When Nature Calls,3.0E7,2.12385533E8,19951110
11517,Money Train,6.0E7,3.5431113E7,19951121
8012,Get Shorty,3.025E7,1.15101622E8,19951020
9691,Assassins,6000000.0,3.0303072E7,19951006
12665,Powder,2.0E8,1.921847111E9,19951027
451,Leaving Las Vegas,3600000.0,4.98E7,19951027
16420,Othello,1.5E7,1.09E8,19951215
902,The City of Lost Children,1.8E7,1738611.0,19950516
9909,Dangerous Minds,7552917.0,1.8E8,19950811
9598,Babe,3.0E7,2.5413491E8,19950718
687,Dead Man Walking,5000000.0,3.9363635E7,19951229
139405,Across the Sea of Time,4.4E7,1.2342632E7,19951020
34615,"Cry, the Beloved Country",1000000.0,676525.0,19951215
11443,Dead Presidents,1.0E7,7700259.0,19951006
9312,Mortal Kombat,1.8E7,1.2219592E8,19950818
577,To Die For,2.0E7,2.1284514E7,19950520
11861,How To Make An American Quilt,1.0E7,2.357413E7,19951006
807,Se7en,3.3E7,3.27311859E8,19950922
10530,Pocahontas,5.5E7,3.46079773E8,19950614
8391,When Night Is Falling,2.5E7,4.1100674E8,19950505
629,The Usual Suspects,6000000.0,2.3341568E7,19950719
11448,Mighty Aphrodite,1.5E7,6700000.0,19950913
97406,Georgia,2.0E7,6.6976317E7,19950519
9089,Home for the Holidays,1.05E7,1.7519169E7,19951102
11359,The Indian in the Cupboard,4.5E7,259510.0,19950714
2054,Mr. Holland's Opus,1700000.0,1.06269971E8,19951229
10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,225000.0,1866462.0,19960112
9536,Bio-Dome,1.5E7,4.5636368E7,19960112
11525,Lawnmower Man 2: Beyond Cyberspace,8000000.0,2409225.0,19960112
10634,Friday,3500000.0,2.8215918E7,19950426
755,From Dusk Till Dawn,1.9E7,2.5836616E7,19960119
11859,Fair Game,5.0E7,1.1534477E7,19951103
28387,Kicking and Screaming,3000000.0,718490.0,19951006
48750,Les Miserables,1.8E7,1.15E7,19950322
36929,Big Bully,5.85E7,2042530.0,19960126
9102,Screamers,2.0E7,5781885.0,19950908
46785,The White Balloon,3.0E7,6200000.0,19950101
400,Things to Do in Denver When You're Dead,8000000.0,529766.0,19951201
880,Antonia's Line,900000.0,871351.0,19950912
10534,White Squall,3.8E7,1.03E7,19960202
17414,Dunston Checks In,1.6E7,5874530.0,19960112
2086,Nick of Time,8169363.0,8175346.0,19951122
61548,The Journey of August King,9400000.0,2.0E7,19950914
9095,Mary Reilly,4.7E7,1.2379402E7,19960223
12158,Vampire in Brooklyn,1.0E7,1.98E7,19951026
9283,Beautiful Girls,7000000.0,2.3280529E7,19960209
9208,Broken Arrow,5.0E7,1.50270147E8,19960209
63076,Heidi Fleiss: Hollywood Madam,3.8E7,2.9907685E7,19951227
11062,City Hall,1.5E7,308641.0,19960216
13685,Bottle Rocket,1.0E7,560069.0,19960221
2045,Unforgettable,1.8E7,1868949.0,19960223
9614,Happy Gilmore,1.2E7,4.1205099E7,19960216
688,The Bridges of Madison County,2.4E7,1.82016617E8,19950528
10874,Muppet Treasure Island,1500000.0,3.4327391E7,19960216
96357,Headless Body in Topless Bar,900000.0,898994.0,19950520
197,Braveheart,7.2E7,2.1E8,19950524
103,Taxi Driver,1300000.0,2.8262574E7,19760207
33542,Rumble in the Bronx,250000.0,3.2392047E7,19950130
71754,Margaret's Museum,8.0E7,5989640.0,19950913
16934,The Young Poisoner's Handbook,1.4E7,547333.0,19950120
10324,If Lucy Fell,1.9E7,1.41407024E8,19960308
78406,Steal Big Steal Little,2.5E7,6278139.0,19950929
11066,Boomerang,4.0E7,7.01E7,19920630
11104,Chungking Express,1.0E7,365734.0,19940714
2074,Flirting with Disaster,7000000.0,1.4702438E7,19960322
44284,The Silences of the Palace,3.2E7,3.67E7,19940930
11863,Jade,5.0E7,9851610.0,19951013
55475,Nueba Yol,1.7E7,293671.0,19950816
11000,The Birdcage,3.1E7,1.85260553E8,19960308
16388,The Brothers McMullen,1.4E7,254988.0,19950809
9737,Bad Boys,1.9E7,1.41407024E8,19950407
10474,The Basketball Diaries,3500000.0,3657876.0,19950421
22279,An Awfully Big Adventure,4000000.0,851545.0,19950721
30157,Amateur,2.0E7,4.5847751E7,19940805
568,Apollo 13,5.2E7,3.55237933E8,19950630
11780,Rob Roy,2.8E7,3.1596911E7,19950413
34996,The Addiction,7500000.0,6584159.0,19950110
414,Batman Forever,1.0E8,3.36529144E8,19950616
649,Belle de Jour,2.0E7,7.07E7,19670524
1873,Beyond Rangoon,2295691.0,1593126.0,19950524
5894,Blue in the Face,4000000.0,1275000.0,19950915
1775,Canadian Bacon,6000000.0,178104.0,19950608
8839,Casper,5.0E7,2.87928194E8,19950526
20649,Clockers,2.5E7,1.3071518E7,19950915
10329,Congo,5.0E7,1.52022101E8,19950609
8963,Crimson Tide,780000.0,1.57387195E8,19950512
26564,Crumb,4500000.0,3174695.0,19940910
8068,Desperado,250000.0,2.5405445E7,19950825
8512,Devil in a Blue Dress,2.7E7,1.6140822E7,19950915
1572,Die Hard: With a Vengeance,1500000.0,3.66101666E8,19950519
13552,The Doom Generation,1500000.0,3187700.0,19951027
6520,First Knight,5.5E7,1.27600435E8,19950707
10428,Hackers,2.0E7,7563728.0,19950914
9482,Judge Dredd,9.0E7,1.13493481E8,19950630
9344,Kids,1500000.0,7412216.0,19950728
9071,Living in Oblivion,500000.0,1148752.0,19950120
47608,Mad Love,800000.0,1.5453274E7,19950526
2293,Mallrats,6000000.0,2122561.0,19951020
9070,Mighty Morphin Power Rangers: The Movie,1.5E7,6.6E7,19950630
34574,Nadja,1.5E8,4.74968763E8,19940913
1642,The Net,2.2E7,1.10627965E8,19950728
36196,Party Girl,2.3E7,472370.0,19950609
10533,The Scarlet Letter,5.0E7,1.0382407E7,19951013
56088,The Show,3.0E7,2.16E7,19950825
10802,Showgirls,4.5E7,2.0350754E7,19950922
10149,Smoke,7000000.0,8349430.0,19950609
